width,quality,repeat,frame_idx,payload_bytes,ok,client_e2e_ms,recv_ms,modal_ms,total_ms,network_ms,num_boxes,error
224,0.85,0,46,7730,True,263.4,1,261,261,2.4,1,
224,0.85,0,47,7793,True,332.2,1,330,330,2.2,1,
224,0.85,0,48,7940,True,248.1,1,246,246,2.1,2,
224,0.85,0,49,8024,True,250.9,1,249,249,1.9,0,
224,0.85,0,50,8330,True,250.4,1,248,248,2.4,0,
224,0.85,0,51,8490,True,260.9,1,259,259,1.9,0,
224,0.85,0,52,8742,True,334.9,2,333,333,1.9,0,
224,0.85,0,53,7941,True,242.1,2,240,240,2.1,0,
224,0.85,0,54,7424,True,253.7,2,252,252,1.7,0,
224,0.85,0,55,9089,True,252.5,1,250,250,2.5,0,
224,0.85,0,56,9704,True,254.2,2,252,252,2.2,0,
224,0.85,0,57,9692,True,247.3,2,245,245,2.3,0,
224,0.85,0,58,10405,True,243.7,1,241,241,2.7,0,
224,0.85,0,59,9784,True,243.4,2,241,241,2.4,0,
224,0.85,0,60,10496,True,269.8,2,267,267,2.8,0,
224,0.85,0,61,10146,True,252.0,2,249,249,3.0,0,
224,0.85,0,62,9268,True,259.4,2,257,257,2.4,0,
224,0.85,0,63,8844,True,238.8,1,237,237,1.8,0,
224,0.85,0,64,8811,True,259.0,2,256,256,3.0,0,
320,0.6,0,5,7577,True,248.9,2,247,247,1.9,0,
320,0.6,0,6,8339,True,264.7,2,262,262,2.7,0,
320,0.6,0,7,9319,True,253.9,3,250,250,3.9,0,
320,0.6,0,8,9551,True,262.3,3,259,259,3.3,1,
320,0.6,0,9,9073,True,250.0,2,248,248,2.0,0,
320,0.6,0,10,9573,True,261.1,3,258,258,3.1,0,
320,0.6,0,11,9866,True,244.3,4,241,241,3.3,0,
320,0.6,0,12,9033,True,292.9,3,290,290,2.9,0,
320,0.6,0,13,9610,True,260.2,2,258,258,2.2,0,
320,0.6,0,14,9117,True,250.8,3,248,248,2.8,0,
320,0.6,0,15,9720,True,347.3,3,344,344,3.3,0,
320,0.6,0,16,9840,True,247.8,4,244,244,3.8,0,
320,0.6,0,17,9070,True,253.7,3,251,251,2.7,0,
320,0.6,0,18,9553,True,254.5,2,252,252,2.5,0,
320,0.6,0,19,8899,True,275.0,2,273,273,2.0,0,
320,0.6,0,20,9676,True,269.4,2,267,267,2.4,0,
320,0.6,0,21,9303,True,240.2,2,237,237,3.2,0,
320,0.6,0,22,8991,True,256.5,3,253,253,3.5,0,
320,0.6,0,23,9646,True,250.3,3,247,247,3.3,0,
320,0.6,0,24,8829,True,253.1,3,250,250,3.1,0,
320,0.6,0,25,9416,True,252.0,3,248,248,4.0,0,
320,0.6,0,26,9291,True,253.2,3,250,250,3.2,0,
320,0.6,0,27,8576,True,242.2,2,240,240,2.2,0,
320,0.6,0,28,9176,True,249.1,3,246,246,3.1,0,
320,0.6,0,29,8525,True,390.1,3,387,387,3.1,0,
320,0.6,0,30,8548,True,241.7,3,239,239,2.7,0,
320,0.6,0,31,7808,True,256.1,3,253,253,3.1,0,
320,0.6,0,32,8529,True,245.3,2,243,243,2.3,1,
320,0.6,0,33,7338,True,240.8,3,238,238,2.8,1,
320,0.6,0,34,7275,True,243.8,2,242,242,1.8,1,
320,0.6,0,35,7220,True,253.2,2,250,250,3.2,1,
320,0.6,0,36,7163,True,240.0,3,237,237,3.0,1,
320,0.6,0,37,6882,True,254.0,1,252,252,2.0,1,
320,0.6,0,38,6847,True,243.6,3,241,241,2.6,1,
320,0.6,0,39,6838,True,255.7,3,253,253,2.7,1,
320,0.6,0,40,6720,True,245.8,3,243,243,2.8,1,
320,0.6,0,41,7080,True,241.6,2,239,239,2.6,1,
320,0.6,0,42,6928,True,243.9,2,241,241,2.9,1,
320,0.6,0,43,7067,True,289.2,3,286,286,3.2,1,
320,0.6,0,44,7050,True,253.1,1,251,251,2.1,1,
320,0.6,0,45,7369,True,246.8,2,245,245,1.8,1,
320,0.6,0,46,7172,True,298.3,2,296,296,2.3,1,
320,0.6,0,47,7229,True,241.1,2,239,239,2.1,1,
320,0.6,0,48,7343,True,246.9,2,245,245,1.9,1,
320,0.6,0,49,7325,True,241.5,2,239,239,2.5,0,
320,0.6,0,50,7749,True,247.3,2,245,245,2.3,0,
320,0.6,0,51,8103,True,258.9,2,256,256,2.9,0,
320,0.6,0,52,8469,True,241.4,2,239,239,2.4,0,
320,0.6,0,53,7341,True,243.5,2,241,241,2.5,0,
320,0.6,0,54,7076,True,258.8,2,256,256,2.8,0,
320,0.6,0,55,8672,True,249.5,3,246,246,3.5,0,
320,0.6,0,56,9105,True,238.8,2,236,236,2.8,0,
320,0.6,0,57,9449,True,274.0,2,272,272,2.0,0,
320,0.6,0,58,9962,True,258.4,2,256,256,2.4,0,
320,0.6,0,59,9552,True,244.3,2,242,242,2.3,0,
320,0.6,0,60,10130,True,244.7,2,242,242,2.7,0,
320,0.6,0,61,9940,True,244.3,2,242,242,2.3,0,
320,0.6,0,62,9035,True,246.4,2,244,244,2.4,0,
320,0.6,0,63,8368,True,258.1,2,256,256,2.1,0,
320,0.6,0,64,8424,True,257.9,1,256,256,1.9,0,
320,0.85,0,5,14174,True,258.5,2,256,256,2.5,0,
320,0.85,0,6,15481,True,253.5,2,251,251,2.5,1,
320,0.85,0,7,16949,True,240.8,3,238,238,2.8,0,
320,0.85,0,8,17298,True,248.0,3,245,245,3.0,1,
320,0.85,0,9,16926,True,253.1,5,249,249,4.1,0,
320,0.85,0,10,17522,True,249.6,3,246,246,3.6,0,
320,0.85,0,11,17773,True,246.7,3,244,244,2.7,0,
320,0.85,0,12,16753,True,260.6,3,257,257,3.6,0,
320,0.85,0,13,17228,True,266.6,5,262,262,4.6,0,
320,0.85,0,14,16689,True,259.0,4,255,255,4.0,0,
320,0.85,0,15,17452,True,256.9,4,252,252,4.9,0,
320,0.85,0,16,17671,True,281.1,5,277,277,4.1,0,
320,0.85,0,17,16666,True,248.1,3,245,245,3.1,0,
320,0.85,0,18,17213,True,249.2,5,244,244,5.2,0,
320,0.85,0,19,16511,True,276.1,4,272,272,4.1,0,
320,0.85,0,20,17367,True,256.5,4,252,252,4.5,0,
